2022-03-03 15:03:46,167 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:03:46,463 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:04:49,544 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:04:49,870 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:07:48,498 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:07:48,850 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:08:53,907 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:08:54,252 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:09:32,297 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:09:32,658 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:12,936 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:11:13,281 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:13,299 - movie_logger - INFO - 1-클라우스영화 제목 클릭... :
2022-03-03 15:11:14,135 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:11:14,153 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:11:14,169 - movie_logger - INFO - iframe으로 전환...
2022-03-03 15:11:24,030 - movie_logger - INFO - 218,클라우스
2022-03-03 15:11:24,066 - movie_logger - INFO - 219,클라우스
2022-03-03 15:11:24,102 - movie_logger - INFO - 220,클라우스
2022-03-03 15:11:24,230 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:24,269 - movie_logger - INFO - 221,클라우스
2022-03-03 15:11:24,316 - movie_logger - INFO - 222,클라우스
2022-03-03 15:11:24,366 - movie_logger - INFO - 223,클라우스
2022-03-03 15:11:24,404 - movie_logger - INFO - 224,클라우스
2022-03-03 15:11:24,438 - movie_logger - INFO - 225,클라우스
2022-03-03 15:11:24,473 - movie_logger - INFO - 226,클라우스
2022-03-03 15:11:24,508 - movie_logger - INFO - 227,클라우스
2022-03-03 15:11:24,544 - movie_logger - INFO - 228,클라우스
2022-03-03 15:11:24,581 - movie_logger - INFO - 229,클라우스
2022-03-03 15:11:24,617 - movie_logger - INFO - 230,클라우스
2022-03-03 15:11:24,750 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:24,795 - movie_logger - INFO - 231,클라우스
2022-03-03 15:11:24,832 - movie_logger - INFO - 232,클라우스
2022-03-03 15:11:24,868 - movie_logger - INFO - 233,클라우스
2022-03-03 15:11:24,906 - movie_logger - INFO - 234,클라우스
2022-03-03 15:11:24,942 - movie_logger - INFO - 235,클라우스
2022-03-03 15:11:24,977 - movie_logger - INFO - 236,클라우스
2022-03-03 15:11:25,015 - movie_logger - INFO - 237,클라우스
2022-03-03 15:11:25,051 - movie_logger - INFO - 238,클라우스
2022-03-03 15:11:25,086 - movie_logger - INFO - 239,클라우스
2022-03-03 15:11:25,123 - movie_logger - INFO - 240,클라우스
2022-03-03 15:11:25,251 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:25,295 - movie_logger - INFO - 241,클라우스
2022-03-03 15:11:25,330 - movie_logger - INFO - 242,클라우스
2022-03-03 15:11:25,365 - movie_logger - INFO - 243,클라우스
2022-03-03 15:11:25,399 - movie_logger - INFO - 244,클라우스
2022-03-03 15:11:25,436 - movie_logger - INFO - 245,클라우스
2022-03-03 15:11:25,472 - movie_logger - INFO - 246,클라우스
2022-03-03 15:11:25,506 - movie_logger - INFO - 247,클라우스
2022-03-03 15:11:25,541 - movie_logger - INFO - 248,클라우스
2022-03-03 15:11:25,575 - movie_logger - INFO - 249,클라우스
2022-03-03 15:11:25,612 - movie_logger - INFO - 250,클라우스
2022-03-03 15:11:25,739 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:25,784 - movie_logger - INFO - 251,클라우스
2022-03-03 15:11:25,820 - movie_logger - INFO - 252,클라우스
2022-03-03 15:11:25,854 - movie_logger - INFO - 253,클라우스
2022-03-03 15:11:25,893 - movie_logger - INFO - 254,클라우스
2022-03-03 15:11:25,929 - movie_logger - INFO - 255,클라우스
2022-03-03 15:11:25,965 - movie_logger - INFO - 256,클라우스
2022-03-03 15:11:26,000 - movie_logger - INFO - 257,클라우스
2022-03-03 15:11:26,038 - movie_logger - INFO - 258,클라우스
2022-03-03 15:11:26,079 - movie_logger - INFO - 259,클라우스
2022-03-03 15:11:26,116 - movie_logger - INFO - 260,클라우스
2022-03-03 15:11:26,247 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:26,291 - movie_logger - INFO - 261,클라우스
2022-03-03 15:11:26,329 - movie_logger - INFO - 262,클라우스
2022-03-03 15:11:26,365 - movie_logger - INFO - 263,클라우스
2022-03-03 15:11:26,402 - movie_logger - INFO - 264,클라우스
2022-03-03 15:11:26,440 - movie_logger - INFO - 265,클라우스
2022-03-03 15:11:26,474 - movie_logger - INFO - 266,클라우스
2022-03-03 15:11:26,509 - movie_logger - INFO - 267,클라우스
2022-03-03 15:11:26,546 - movie_logger - INFO - 268,클라우스
2022-03-03 15:11:26,584 - movie_logger - INFO - 269,클라우스
2022-03-03 15:11:26,621 - movie_logger - INFO - 270,클라우스
2022-03-03 15:11:26,747 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:26,788 - movie_logger - INFO - 271,클라우스
2022-03-03 15:11:26,823 - movie_logger - INFO - 272,클라우스
2022-03-03 15:11:26,862 - movie_logger - INFO - 273,클라우스
2022-03-03 15:11:26,897 - movie_logger - INFO - 274,클라우스
2022-03-03 15:11:26,937 - movie_logger - INFO - 275,클라우스
2022-03-03 15:11:26,973 - movie_logger - INFO - 276,클라우스
2022-03-03 15:11:27,010 - movie_logger - INFO - 277,클라우스
2022-03-03 15:11:27,046 - movie_logger - INFO - 278,클라우스
2022-03-03 15:11:27,084 - movie_logger - INFO - 279,클라우스
2022-03-03 15:11:27,121 - movie_logger - INFO - 280,클라우스
