2022-03-07 17:03:29,641 - movie_logger - INFO - °¡»ó ºê¶ó¿ìÀú ½ÇÇà...
2022-03-07 17:03:29,978 - movie_logger - INFO - ³×ÀÌ¹ö ¿µÈ­ ·©Å· 1ÆäÀÌÁö ÀÌµ¿...
2022-03-07 17:03:29,998 - movie_logger - INFO - 50-¾Ë¶óµò¿µÈ­ Á¦¸ñ Å¬¸¯... :
2022-03-07 17:03:31,148 - movie_logger - INFO - ¿µÈ­ ÆòÁ¡ Å¬¸¯...
2022-03-07 17:03:31,168 - movie_logger - INFO - ¿µÈ­ Á¦¸ñ ¼öÁý : ¾Ë¶óµò
2022-03-07 17:03:31,185 - movie_logger - INFO - iframeÀ¸·Î ÀüÈ¯...
2022-03-07 17:03:42,047 - movie_logger - INFO - 228,¾Ë¶óµò
2022-03-07 17:03:42,083 - movie_logger - INFO - 229,¾Ë¶óµò
2022-03-07 17:03:42,119 - movie_logger - INFO - 230,¾Ë¶óµò
2022-03-07 17:03:42,263 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:42,306 - movie_logger - INFO - 231,¾Ë¶óµò
2022-03-07 17:03:42,342 - movie_logger - INFO - 232,¾Ë¶óµò
2022-03-07 17:03:42,378 - movie_logger - INFO - 233,¾Ë¶óµò
2022-03-07 17:03:42,414 - movie_logger - INFO - 234,¾Ë¶óµò
2022-03-07 17:03:42,453 - movie_logger - INFO - 235,¾Ë¶óµò
2022-03-07 17:03:42,489 - movie_logger - INFO - 236,¾Ë¶óµò
2022-03-07 17:03:42,525 - movie_logger - INFO - 237,¾Ë¶óµò
2022-03-07 17:03:42,562 - movie_logger - INFO - 238,¾Ë¶óµò
2022-03-07 17:03:42,599 - movie_logger - INFO - 239,¾Ë¶óµò
2022-03-07 17:03:42,648 - movie_logger - INFO - 240,¾Ë¶óµò
2022-03-07 17:03:42,787 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:42,832 - movie_logger - INFO - 241,¾Ë¶óµò
2022-03-07 17:03:42,871 - movie_logger - INFO - 242,¾Ë¶óµò
2022-03-07 17:03:42,908 - movie_logger - INFO - 243,¾Ë¶óµò
2022-03-07 17:03:42,956 - movie_logger - INFO - 244,¾Ë¶óµò
2022-03-07 17:03:43,002 - movie_logger - INFO - 245,¾Ë¶óµò
2022-03-07 17:03:43,042 - movie_logger - INFO - 246,¾Ë¶óµò
2022-03-07 17:03:43,081 - movie_logger - INFO - 247,¾Ë¶óµò
2022-03-07 17:03:43,121 - movie_logger - INFO - 248,¾Ë¶óµò
2022-03-07 17:03:43,161 - movie_logger - INFO - 249,¾Ë¶óµò
2022-03-07 17:03:43,199 - movie_logger - INFO - 250,¾Ë¶óµò
2022-03-07 17:03:43,378 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:43,429 - movie_logger - INFO - 251,¾Ë¶óµò
2022-03-07 17:03:43,509 - movie_logger - INFO - 252,¾Ë¶óµò
2022-03-07 17:03:43,571 - movie_logger - INFO - 253,¾Ë¶óµò
2022-03-07 17:03:43,621 - movie_logger - INFO - 254,¾Ë¶óµò
2022-03-07 17:03:43,668 - movie_logger - INFO - 255,¾Ë¶óµò
2022-03-07 17:03:43,710 - movie_logger - INFO - 256,¾Ë¶óµò
2022-03-07 17:03:43,751 - movie_logger - INFO - 257,¾Ë¶óµò
2022-03-07 17:03:43,789 - movie_logger - INFO - 258,¾Ë¶óµò
2022-03-07 17:03:43,827 - movie_logger - INFO - 259,¾Ë¶óµò
2022-03-07 17:03:43,865 - movie_logger - INFO - 260,¾Ë¶óµò
2022-03-07 17:03:44,003 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:44,045 - movie_logger - INFO - 261,¾Ë¶óµò
2022-03-07 17:03:44,084 - movie_logger - INFO - 262,¾Ë¶óµò
2022-03-07 17:03:44,124 - movie_logger - INFO - 263,¾Ë¶óµò
2022-03-07 17:03:44,165 - movie_logger - INFO - 264,¾Ë¶óµò
2022-03-07 17:03:44,204 - movie_logger - INFO - 265,¾Ë¶óµò
2022-03-07 17:03:44,246 - movie_logger - INFO - 266,¾Ë¶óµò
